!Agilent Technologies,E4990A,MY54201856,A.02.20
!Date: Wed Feb 25 18:26:20 2026

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, |Z|(Ohm)-mem, theta-z(deg)-data, theta-z(deg)-mem
+3.27567660000e+004, +3.94331762057e+005, +4.07051507907e+005, -8.33351986845e+001, -8.60939320085e+001
+3.27567847500e+004, +3.92715006905e+005, +4.06178831203e+005, -8.71489947405e+001, -8.60788674704e+001
+3.27568035000e+004, +4.05919230800e+005, +4.05304705659e+005, -8.74549156456e+001, -8.60637066764e+001
+3.27568222500e+004, +4.07638172075e+005, +4.04429127881e+005, -8.65837811082e+001, -8.60484487437e+001
+3.27568410000e+004, +4.04730058483e+005, +4.03552094469e+005, -8.62931560953e+001, -8.60330927787e+001
+3.27568597500e+004, +4.02410600176e+005, +4.02673602011e+005, -8.63363663979e+001, -8.60176378771e+001
+3.27568785000e+004, +4.01466500668e+005, +4.01793647089e+005, -8.64108798091e+001, -8.60020831235e+001
+3.27568972500e+004, +4.00746012178e+005, +4.00912226279e+005, -8.64005076674e+001, -8.59864275913e+001
+3.27569160000e+004, +4.00218927861e+005, +4.00029336146e+005, -8.63926687210e+001, -8.59706703427e+001
+3.27569347500e+004, +3.99424022867e+005, +3.99144973250e+005, -8.63577200968e+001, -8.59548104283e+001
+3.27569535000e+004, +3.98310918640e+005, +3.98259134141e+005, -8.63349941751e+001, -8.59388468871e+001
+3.27569722500e+004, +3.97483601888e+005, +3.97371815363e+005, -8.63291174882e+001, -8.59227787462e+001
+3.27569910000e+004, +3.96579707192e+005, +3.96483013452e+005, -8.63030963247e+001, -8.59066050206e+001
+3.27570097500e+004, +3.95672633252e+005, +3.95592724935e+005, -8.62928993884e+001, -8.58903247133e+001
+3.27570285000e+004, +3.94776733424e+005, +3.94700946333e+005, -8.62654709786e+001, -8.58739368145e+001
+3.27570472500e+004, +3.94088210995e+005, +3.93807674158e+005, -8.62581363703e+001, -8.58574403022e+001
+3.27570660000e+004, +3.92875119513e+005, +3.92912904916e+005, -8.62312009704e+001, -8.58408341414e+001
+3.27570847500e+004, +3.92042267604e+005, +3.92016635104e+005, -8.62096578795e+001, -8.58241172840e+001
+3.27571035000e+004, +3.91205232982e+005, +3.91118861213e+005, -8.62022327963e+001, -8.58072886689e+001
+3.27571222500e+004, +3.90300274690e+005, +3.90219579725e+005, -8.61693267176e+001, -8.57903472215e+001
+3.27571410000e+004, +3.89280946594e+005, +3.89318787116e+005, -8.61469228823e+001, -8.57732918536e+001
+3.27571597500e+004, +3.88428111067e+005, +3.88416479853e+005, -8.61249431453e+001, -8.57561214630e+001
+3.27571785000e+004, +3.87548595867e+005, +3.87512654398e+005, -8.61056213420e+001, -8.57388349338e+001
+3.27571972500e+004, +3.86768800165e+005, +3.86607307204e+005, -8.60886096134e+001, -8.57214311354e+001
+3.27572160000e+004, +3.85717450555e+005, +3.85700434716e+005, -8.60862707243e+001, -8.57039089229e+001
+3.27572347500e+004, +3.84889963669e+005, +3.84792033374e+005, -8.60685999786e+001, -8.56862671368e+001
+3.27572535000e+004, +3.83862989595e+005, +3.83882099610e+005, -8.60476365057e+001, -8.56685046024e+001
+3.27572722500e+004, +3.83075199880e+005, +3.82970629849e+005, -8.60282530405e+001, -8.56506201297e+001
+3.27572910000e+004, +3.82168211868e+005, +3.82057620508e+005, -8.60034799312e+001, -8.56326125136e+001
+3.27573097500e+004, +3.81164883566e+005, +3.81143067998e+005, -8.59862091868e+001, -8.56144805330e+001
+3.27573285000e+004, +3.80293631531e+005, +3.80226968724e+005, -8.59643458754e+001, -8.55962229508e+001
+3.27573472500e+004, +3.79350803710e+005, +3.79309319083e+005, -8.59502790550e+001, -8.55778385139e+001
+3.27573660000e+004, +3.78529063541e+005, +3.78390115465e+005, -8.59493967234e+001, -8.55593259524e+001
+3.27573847500e+004, +3.77444907942e+005, +3.77469354253e+005, -8.59162772511e+001, -8.55406839801e+001
+3.27574035000e+004, +3.76586400876e+005, +3.76547031825e+005, -8.58872112092e+001, -8.55219112932e+001
+3.27574222500e+004, +3.75731386770e+005, +3.75623144551e+005, -8.58471598832e+001, -8.55030065709e+001
+3.27574410000e+004, +3.74686401554e+005, +3.74697688796e+005, -8.58406127081e+001, -8.54839684748e+001
+3.27574597500e+004, +3.73853969041e+005, +3.73770660917e+005, -8.58313352934e+001, -8.54647956484e+001
+3.27574785000e+004, +3.72967975792e+005, +3.72842057265e+005, -8.58126490768e+001, -8.54454867173e+001
+3.27574972500e+004, +3.71964063622e+005, +3.71911874186e+005, -8.57727847378e+001, -8.54260402883e+001
+3.27575160000e+004, +3.70947391809e+005, +3.70980108018e+005, -8.57628697719e+001, -8.54064549496e+001
+3.27575347500e+004, +3.70049561307e+005, +3.70046755094e+005, -8.57383007584e+001, -8.53867292700e+001
+3.27575535000e+004, +3.69068785688e+005, +3.69111811741e+005, -8.57142146032e+001, -8.53668617992e+001
+3.27575722500e+004, +3.68204426020e+005, +3.68175274280e+005, -8.57101263520e+001, -8.53468510669e+001
+3.27575910000e+004, +3.67284630155e+005, +3.67237139026e+005, -8.56848648248e+001, -8.53266955826e+001
+3.27576097500e+004, +3.66354954986e+005, +3.66297402288e+005, -8.56741375142e+001, -8.53063938355e+001
+3.27576285000e+004, +3.65337421413e+005, +3.65356060370e+005, -8.56491248688e+001, -8.52859442939e+001
+3.27576472500e+004, +3.64375068691e+005, +3.64413109572e+005, -8.56119702185e+001, -8.52653454051e+001
+3.27576660000e+004, +3.63449789304e+005, +3.63468546184e+005, -8.56080576594e+001, -8.52445955945e+001
+3.27576847500e+004, +3.62531223119e+005, +3.62522366495e+005, -8.55702755905e+001, -8.52236932660e+001
+3.27577035000e+004, +3.61579498797e+005, +3.61574566788e+005, -8.55528864077e+001, -8.52026368009e+001
+3.27577222500e+004, +3.60701344171e+005, +3.60625143339e+005, -8.55246748280e+001, -8.51814245580e+001
+3.27577410000e+004, +3.59672659814e+005, +3.59674092422e+005, -8.54998756612e+001, -8.51600548730e+001
+3.27577597500e+004, +3.58706665698e+005, +3.58721410303e+005, -8.54660784366e+001, -8.51385260580e+001
